Prev_MathAnx_score,Prev_hcp_h456e2_math,Prev_hcp_h456e2_word,points,easy_math_cnt,easy_word_cnt,easy_acc_math,easy_acc_word,easy_RT_math,easy_RT_word,hard_math_cnt,hard_word_cnt,hard_level_math,hard_level_word,hard_acc_math,hard_acc_word,hard_RT_math,hard_RT_word,hcp_h2e2_math,hcp_h3e2_math,hcp_h4e2_math,hcp_h5e2_math,hcp_h6e2_math,hcp_h456e2_math,hcp_h2e2_word,hcp_h3e2_word,hcp_h4e2_word,hcp_h5e2_word,hcp_h6e2_word,hcp_h456e2_word
1.84,0.78333,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.56,0.23333,0.73333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,0.98333,1,289,10,10,1,1,1799,2256,40,40,5.575,5.15,0.7,0.7,4180,3470,0,1,1,1,1,1,0,1,1,1,1,1
1.04,1,0.98333,317,21,9,1,1,2534,1922,29,41,4.6897,4.122,0.75862,0.70732,4321,4279,0.1,0.7,0.6,0.7,0.8,0.7,0.3,1,1,0.9,0.9,0.93333
2,1,0.98333,286,10,13,1,0.92308,1847,2143,40,37,4.325,4.1622,0.7,0.62162,3420,2469,0,1,1,1,1,1,0,0.8,0.9,1,1,0.96667
1.36,0.8,0,332,16,46,0.875,0.95652,1800,1911,34,4,4.1471,3.5,0.67647,0.5,3821,2063,0.1,0.7,0.8,0.9,0.9,0.86667,0.1,0,0.1,0.1,0.1,0.1
2.32,0.96667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.08,0,0,346,50,50,0.88,0.92,2670,2494,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
1.8,0.21667,0.066667,344,34,36,1,0.94444,2071,2311,16,14,3.25,3.3571,0.75,0.64286,3844,2239,0,0,0,0.7,0.9,0.53333,0,0,0,0.8,0.6,0.46667
2.8,0.05,0.91667,346,43,17,0.97674,0.94118,2068,2146,7,33,3,5.9394,0.85714,0.72727,3827,3224,0.2,0.1,0.2,0.1,0.1,0.13333,0.3,0.8,0.7,0.7,0.8,0.73333
1.52,0.93333,0.65,323,13,16,0.61538,0.9375,2562,1862,37,34,6.4595,3.2941,0.89189,0.73529,3791,2237,0.2,0.5,1,1,1,1,0,0.6,0.8,1,1,0.93333
3.04,0.13333,0.31667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.32,0.4,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.44,1,0.81667,308,10,10,1,1,2776,1933,40,40,3.875,4.025,0.7,0.75,4226,3227,0,1,1,1,1,1,0,1,1,1,1,1
1.48,0.71667,0.96667,346,11,7,1,1,1978,1704,39,43,6.7692,6.3488,0.94872,0.76744,4214,3292,0,0.9,1,1,1,1,0.5,0.8,1,1,1,1
2.48,0.91667,1,326,46,14,0.93478,1,1933,1764,4,36,2.5,4.5556,0.5,0.69444,3249,2216,0.1,0,0.1,0.1,0.1,0.1,0,0.6,1,1,1,1
1,0.98333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.28,0.066667,0.91667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.32,0.95,0.88333,304,20,15,1,0.86667,1933,2356,30,35,3.3,6.2857,0.66667,0.8,3969,2894,0,0.2,1,1,0.8,0.93333,0,0.6,1,1,0.9,0.96667
